t,euler,rk2,rk4,
0.000000,100.000000,100.000000,100.000000,
0.100000,90.000000,90.500000,90.483750,
0.200000,81.000000,81.902500,81.873090,
0.300000,72.900000,74.121762,74.081842,
0.400000,65.610000,67.080195,67.032028,
0.500000,59.049000,60.707576,60.653093,
0.600000,53.144099,54.940356,54.881193,
0.700000,47.829689,49.721022,49.658561,
0.800000,43.046720,44.997525,44.932928,
0.900000,38.742048,40.722760,40.656999,
1.000000,34.867843,36.854098,36.787977,
1.100000,31.381059,33.352959,33.287141,
1.200000,28.242953,30.184427,30.119453,
1.300000,25.418658,27.316907,27.253211,
1.400000,22.876792,24.721801,24.659727,
1.500000,20.589113,22.373230,22.313046,
1.600000,18.530201,20.247773,20.189681,
1.700000,16.677181,18.324234,18.268380,
1.800000,15.009463,16.583432,16.529915,
1.900000,13.508517,15.008006,14.956887,
2.000000,12.157665,13.582245,13.533552,
2.100000,10.941899,12.291932,12.245666,
2.200000,9.847709,11.124198,11.080338,
2.300000,8.862938,10.067400,10.025905,
2.400000,7.976644,9.110997,9.071815,
2.500000,7.178980,8.245452,8.208518,
2.600000,6.461082,7.462134,7.427375,
2.700000,5.814973,6.753231,6.720567,
2.800000,5.233476,6.111674,6.081021,
2.900000,4.710128,5.531065,5.502336,
3.000000,4.239116,5.005614,4.978720,
3.100000,3.815204,4.530081,4.504933,
3.200000,3.433684,4.099723,4.076232,
3.300000,3.090315,3.710249,3.688328,
3.400000,2.781284,3.357776,3.337337,
3.500000,2.503155,3.038787,3.019748,
3.600000,2.252840,2.750102,2.732381,
3.700000,2.027556,2.488842,2.472361,
3.800000,1.824800,2.252402,2.237085,
3.900000,1.642320,2.038424,2.024198,
4.000000,1.478088,1.844774,1.831570,
4.100000,1.330279,1.669520,1.657274,
4.200000,1.197251,1.510916,1.499563,
4.300000,1.077526,1.367379,1.356861,
4.400000,0.969774,1.237478,1.227739,
4.500000,0.872796,1.119918,1.110904,
4.600000,0.785517,1.013525,1.005188,
4.700000,0.706965,0.917240,0.909532,
4.800000,0.636268,0.830103,0.822978,
4.900000,0.572642,0.751243,0.744662,
5.000000,0.515377,0.679875,0.673798,
5.100000,0.463840,0.615287,0.609677,
5.200000,0.417456,0.556834,0.551659,
5.300000,0.375710,0.503935,0.499162,
5.400000,0.338139,0.456061,0.451660,
5.500000,0.304325,0.412735,0.408679,
5.600000,0.273893,0.373526,0.369788,
5.700000,0.246503,0.338041,0.334598,
5.800000,0.221853,0.305927,0.302757,
